PG,SG,SF,PF,C,G,F,UTIL,
40832551,40832529,40832313,40832574,40832214,40832165,40832134,40832457,
40832146,40832529,40832313,40832134,40832574,40832222,40832457,40832680,
40832149,40832165,40832313,40832680,40832574,40832529,40832457,40832146,
40832529,40832222,40832313,40832680,40832214,40832165,40832457,40832180,
40832551,40832222,40832313,40832189,40832214,40832529,40832457,40832162,
40832529,40832222,40832457,40832134,40832214,40832165,40832684,40832748,
40832529,40832691,40832457,40832680,40832214,40832222,40832134,40832165,
40832529,40832222,40832313,40832180,40832214,40832162,40832457,40832638,
40832551,40832529,40832313,40832134,40832574,40832222,40832457,40832162,
40832529,40832165,40832313,40832684,40832214,40832538,40832134,40832457,
,,,,,,,,